dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
SS-large,RS,MetricSifter,0.01853124008825735,0.04559650776928063,0.02755260496427325,,0.717754827381714,0.9418100649350649,0.05956526167717484,0.49369958982836304,0.018420498173686718
SS-large,RS,NSigma,0.013897406047742762,0.03434498152184193,0.020713118136085607,,0.6408415181215169,0.9625378787878788,0.04062846410004525,0.3191451574551549,0.013838414394713531
SS-large,RS,None,0.0100177721140744,0.024832024877362562,0.014955798055088607,,0.5,1.0,-10.0,0.0,0.009989567569280213
SS-medium,CG+PageRank,BIRCH,0.00625,0.0125,0.0104166875,0.297799875,0.5932120582857794,1.0,0.07043988891699196,0.1864241165715588,0.056584960493002996
SS-medium,CG+PageRank,FluxInfer-AD,0.018750000000000003,0.0166666875,0.0154166875,0.563293375,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,CG+PageRank,HDBS-R,0.0125,0.024166625,0.0129583125,0.669671,0.4621846264253618,0.2314583333333333,-0.0249504257534458,0.6929109195173903,0.033233963691770535
SS-medium,CG+PageRank,HDBS-SBD,0.025,0.0375,0.029375,0.44825231249999997,0.46983674452815466,0.25125,-0.020530136847415933,0.6884234890563093,0.03501575755823316
SS-medium,CG+PageRank,K-S test,0.0125,0.0125,0.0110416875,0.553820375,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,CG+PageRank,MetricSifter,0.021875,0.038125,0.031947875,0.49933174999999996,0.7185428957183886,0.9791666666666666,0.13650055627362825,0.4579191247701106,0.08650161057221452
SS-medium,CG+PageRank,NSigma,0.025,0.024166687500000002,0.0217083125,0.505847875,0.5834527617348694,0.9875,0.0640218144439612,0.1794055234697387,0.05506179008213737
SS-medium,CG+PageRank,None,0.018750000000000003,0.029166687500000003,0.025208374999999998,0.6338008749999999,0.5,1.0,-10.0,0.0,0.04655557817036815
SS-medium,RCD,BIRCH,0.33125,0.3925,0.343708375,249.6661455,0.5932120582857794,1.0,0.07043988891699196,0.1864241165715588,0.056584960493002996
SS-medium,RCD,FluxInfer-AD,0.3125,0.3625,0.328333375,255.310328,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,RCD,HDBS-R,0.2125,0.198333375,0.22091675,87.4718858125,0.4621846264253618,0.2314583333333333,-0.0249504257534458,0.6929109195173903,0.033233963691770535
SS-medium,RCD,HDBS-SBD,0.3125,0.2225000625,0.2584583125,92.5993704375,0.46983674452815466,0.25125,-0.020530136847415933,0.6884234890563093,0.03501575755823316
SS-medium,RCD,K-S test,0.33125,0.3599999375,0.3384583125,257.6994909375,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,RCD,MetricSifter,0.36953125,0.43802084375,0.38585934375,130.2697785625,0.7185428957183886,0.9791666666666666,0.13650055627362825,0.4579191247701106,0.08650161057221452
SS-medium,RCD,NSigma,0.3,0.396666625,0.3399583125,236.4895445625,0.5834527617348694,0.9875,0.0640218144439612,0.1794055234697387,0.05506179008213737
SS-medium,RCD,None,0.3,0.3683333125,0.3251250625,290.255055875,0.5,1.0,-10.0,0.0,0.04655557817036815
SS-medium,RS,BIRCH,0.057458712198693286,0.13694148967675102,0.08394261880077691,,0.5932120582857794,1.0,0.07043988891699196,0.1864241165715588,0.056584960493002996
SS-medium,RS,FluxInfer-AD,0.05432153902295205,0.12979386611819718,0.07947016937465051,,0.5684564533175351,1.0,0.05595972616185849,0.13691290663507025,0.05353749164756178
SS-medium,RS,HDBS-R,0.03564876864054025,0.08598752893224433,0.05242448293874889,,0.4621846264253618,0.2314583333333333,-0.0249504257534458,0.6929109195173903,0.033233963691770535
SS-medium,RS,HDBS-SBD,0.03745707108499866,0.09020845534370228,0.05503648614867461,,0.46983674452815466,0.25125,-0.020530136847415933,0.6884234890563093,0.03501575755823316
